Date,City,Country,Latitude,Longitude,Magnitude,Depth_km,Impact_Score,Datetime,Year,Month
2024-12-31,49 km W of Puerto,Chile,-20.1826,-70.6231,5.0,35.0,386,2024-12-31 23:13:20,2024,12
2024-12-31,124 km ESE of Kandrian,Papua New Guinea,-6.6675,150.5771,5.1,10.0,400,2024-12-31 20:09:41,2024,12
2024-12-31,60 km WNW of Rabaul,Papua New Guinea,-4.05,151.6351,5.0,14.52,385,2024-12-31 17:09:39,2024,12
2024-12-30,13 km NW of Port-Vila,Vanuatu,-17.6555,168.2183,5.1,66.61,402,2024-12-30 05:49:02,2024,12
2024-12-30,63 km W of Coquimbo,Chile,-29.9272,-71.9959,5.5,10.0,466,2024-12-30 05:41:06,2024,12
2024-12-30,68 km W of Coquimbo,Chile,-29.9251,-72.0531,5.5,10.0,468,2024-12-30 05:40:49,2024,12
2024-12-30,18 km SE of Bangui,Philippines,18.4391,120.9038,5.5,34.0,473,2024-12-30 02:56:16,2024,12
2024-12-29,34 km NNW of Āwash,Ethiopia,9.2754,40.0491,5.1,10.0,408,2024-12-29 22:20:41,2024,12
2024-12-28,277 km WNW of Houma,Tonga,-20.4512,-177.8522,5.5,542.8,465,2024-12-28 19:57:19,2024,12
2024-12-28,southern Mid-Atlantic Ridge,southern Mid-Atlantic Ridge,-52.1258,-4.8494,5.6,10.0,482,2024-12-28 08:34:06,2024,12
2024-12-28,southern Mid-Atlantic Ridge,southern Mid-Atlantic Ridge,-13.7767,-14.3932,5.0,10.0,385,2024-12-28 05:09:40,2024,12
2024-12-28,southern Mid-Atlantic Ridge,southern Mid-Atlantic Ridge,-13.8824,-14.4898,5.0,10.0,385,2024-12-28 01:52:16,2024,12
2024-12-27,50 km E of Tomioka,Japan,37.3695,141.5863,5.3,45.48,433,2024-12-27 19:10:05,2024,12
2024-12-27,20 km SE of Union,Philippines,9.6146,126.2289,5.4,63.0,456,2024-12-27 18:42:59,2024,12
2024-12-27,Kuril Islands,Kuril Islands,47.2996,151.236,6.8,146.0,712,2024-12-27 12:47:37,2024,12
2024-12-27,Maug Islands region,Northern Mariana Islands,19.5156,144.7414,5.3,416.13,432,2024-12-27 10:43:49,2024,12
2024-12-27,146 km SSW of Merizo Village,Guam,12.1603,143.9297,5.3,10.0,432,2024-12-27 09:30:54,2024,12
2024-12-27,northern Mid-Atlantic Ridge,northern Mid-Atlantic Ridge,34.0302,-38.6982,5.9,10.0,536,2024-12-27 05:30:07,2024,12
2024-12-26,Izu Islands,Japan region,30.5023,141.8517,5.8,7.0,518,2024-12-26 21:02:25,2024,12
2024-12-26,3 km ESE of Borbon,Philippines,8.473,125.927,5.3,24.23,438,2024-12-26 10:26:20,2024,12
2024-12-26,10 km ENE of Valdivia,Colombia,7.3229,-75.298,5.0,52.19,407,2024-12-26 00:52:39,2024,12
2024-12-25,224 km W of Port McNeill,Canada,50.5968,-130.2621,5.0,10.0,387,2024-12-25 21:39:29,2024,12
2024-12-25,Fiji region,Fiji region,-19.0858,-177.6396,5.6,458.67,482,2024-12-25 06:34:48,2024,12
2024-12-24,25 km SE of Tinogasta,Argentina,-28.2047,-67.3646,5.9,138.0,536,2024-12-24 22:42:25,2024,12
2024-12-24,northern Mid-Atlantic Ridge,northern Mid-Atlantic Ridge,24.6536,-46.1986,5.0,10.0,385,2024-12-24 05:39:34,2024,12
2024-12-23,41 km SSW of Guisa,Cuba,19.8862,-76.6255,5.9,7.0,602,2024-12-23 06:00:56,2024,12
2024-12-23,39 km S of Lata,Solomon Islands,-11.0805,165.8553,5.0,57.02,385,2024-12-23 04:51:08,2024,12
2024-12-22,111 km S of Akhiok,Alaska,55.9537,-153.9737,5.0,27.4,385,2024-12-22 11:44:57,2024,12
2024-12-22,110 km S of Akhiok,Alaska,55.9603,-153.9543,5.2,2.0,416,2024-12-22 03:56:03,2024,12
2024-12-22,93 km SE of Kirakira,Solomon Islands,-10.954,162.6049,5.1,45.91,400,2024-12-22 02:31:24,2024,12
2024-12-22,89 km W of Brandvlei,South Africa,-30.381,19.5557,5.2,10.0,656,2024-12-22 00:51:05,2024,12
2024-12-21,9 km ENE of Paravóla,Greece,38.6595,21.6089,5.0,10.0,385,2024-12-21 16:29:52,2024,12
2024-12-21,33 km W of Port-Vila,Vanuatu,-17.7041,168.0033,6.1,47.0,582,2024-12-21 15:30:53,2024,12
2024-12-21,105 km ESE of Fangale’ounga,Tonga,-20.0707,-173.3758,5.0,10.0,385,2024-12-21 09:20:30,2024,12
2024-12-20,60 km WNW of Jumla,Nepal,29.4923,81.6099,5.0,10.0,387,2024-12-20 22:29:02,2024,12
2024-12-20,183 km SW of Tual,Indonesia,-6.9992,131.8226,5.0,10.0,385,2024-12-20 19:26:14,2024,12
2024-12-20,82 km W of Labuan,Indonesia,-6.4479,105.0901,5.0,54.96,385,2024-12-20 18:22:39,2024,12
2024-12-20,122 km SSE of Lata,Solomon Islands,-11.79,166.1011,5.4,25.97,449,2024-12-20 14:33:08,2024,12
2024-12-20,123 km SSE of Lata,Solomon Islands,-11.7728,166.1893,5.0,13.05,385,2024-12-20 14:10:42,2024,12
2024-12-19,West Chile Rise,West Chile Rise,-41.0907,-86.6059,5.3,10.0,432,2024-12-19 20:30:06,2024,12
2024-12-19,121 km ESE of San Policarpo,Philippines,11.9512,126.6021,5.1,10.0,400,2024-12-19 19:22:19,2024,12
2024-12-19,103 km SW of Isangel,Vanuatu,-20.1481,168.5242,5.1,10.0,400,2024-12-19 18:36:13,2024,12
2024-12-19,78 km W of Cabittaogan,Philippines,17.6226,119.6247,5.1,10.0,400,2024-12-19 06:55:00,2024,12
2024-12-19,88 km W of Cabittaogan,Philippines,17.6019,119.5289,5.1,10.0,400,2024-12-19 06:42:24,2024,12
2024-12-19,west of Macquarie Island,west of Macquarie Island,-56.2848,147.3332,5.7,10.0,500,2024-12-19 02:07:02,2024,12
2024-12-19,83 km W of Cabittaogan,Philippines,17.608,119.5738,5.1,10.0,400,2024-12-19 01:09:51,2024,12
2024-12-18,South Sandwich Islands region,South Sandwich Islands region,-60.539,-26.5165,5.0,10.0,385,2024-12-18 20:12:51,2024,12
2024-12-18,33 km WNW of Port-Vila,Vanuatu,-17.6764,167.9999,5.2,68.66,416,2024-12-18 17:53:26,2024,12
2024-12-18,southeast of Easter Island,southeast of Easter Island,-35.9333,-102.102,5.2,10.0,416,2024-12-18 09:08:54,2024,12
2024-12-18,13 km W of Pozo Almonte,Chile,-20.2333,-69.9153,5.2,59.26,448,2024-12-18 04:09:12,2024,12
2024-12-18,northern Mid-Atlantic Ridge,northern Mid-Atlantic Ridge,33.5889,-38.58,5.1,10.0,400,2024-12-18 00:29:08,2024,12
2024-12-17,252 km E of Levuka,Fiji,-18.1662,-178.2957,5.6,549.33,482,2024-12-17 22:10:40,2024,12
2024-12-17,Banda Sea,Banda Sea,-6.7821,130.2227,5.2,128.76,416,2024-12-17 21:41:09,2024,12
2024-12-17,18 km W of Port-Vila,Vanuatu,-17.7053,168.1418,5.5,46.0,466,2024-12-17 18:17:23,2024,12
2024-12-17,southeast Indian Ridge,southeast Indian Ridge,-48.1765,104.6186,5.2,10.0,416,2024-12-17 17:52:10,2024,12
2024-12-17,190 km SE of Pondaguitan,Philippines,5.1686,127.4188,5.0,138.79,385,2024-12-17 11:05:37,2024,12
2024-12-17,21 km WNW of Port-Vila,Vanuatu,-17.6913,168.1182,5.2,46.78,416,2024-12-17 10:49:13,2024,12
2024-12-17,northern East Pacific Rise,northern East Pacific Rise,8.3722,-103.1132,5.3,10.0,432,2024-12-17 09:22:31,2024,12
2024-12-17,15 km SSE of Candoni,Philippines,9.6861,122.6582,5.1,35.0,405,2024-12-17 07:37:38,2024,12
2024-12-17,South Sandwich Islands region,South Sandwich Islands region,-60.3561,-28.624,5.3,10.0,432,2024-12-17 07:17:51,2024,12
2024-12-17,central Mid-Atlantic Ridge,central Mid-Atlantic Ridge,0.9225,-29.1417,5.3,10.0,432,2024-12-17 05:05:55,2024,12
2024-12-17,36 km WSW of Port-Vila,Vanuatu,-17.8874,168.0086,5.4,30.32,449,2024-12-17 04:18:41,2024,12
2024-12-17,20 km S of Makurazaki,Japan,31.0848,130.3315,5.4,162.34,449,2024-12-17 04:09:33,2024,12
2024-12-17,42 km SW of Port-Vila,Vanuatu,-17.9808,168.0051,5.0,42.55,385,2024-12-17 03:48:17,2024,12
2024-12-17,40 km WSW of Port-Vila,Vanuatu,-17.8564,167.9486,5.0,47.88,385,2024-12-17 03:37:43,2024,12
2024-12-17,31 km W of Port-Vila,Vanuatu,-17.7504,168.0123,5.3,49.19,433,2024-12-17 01:53:13,2024,12
2024-12-17,24 km WNW of Port-Vila,Vanuatu,-17.6914,168.0842,7.3,54.37,880,2024-12-17 01:47:25,2024,12
